# Auxiliary finding vocabulary: structures and abnormalities the reports
# describe that the competition does NOT score. Same schema, same matcher
# and the same cues.csv as findings.csv — only the target list differs.
#
# These exist to be EXTRA TRAINING TARGETS on a shared trunk, discarded at
# inference. Nothing here is ever submitted or evaluated against gold.
#
# `a~b` is a composite: both halves within 45 characters, in either order.
# Multi-word phrases are written this way on purpose — the matcher anchors
# the START of a term only, so a stem matches every inflection of it.
# 'hinter~kreuzband' catches hinteres, hintere and hinteren Kreuzband;
# the literal 'hinteres kreuzband' catches exactly one of the three, and
# a test caught that gap on German PCL.
#
# corpus=1 means the term was measured to fire in a report of that
# language in the training corpus (English terms: anywhere, because every
# language falls back to English).
finding,language,term,corpus
Ganglion,tr,ganglion,1
Ganglion,tr,gangliyon,1
Ganglion,tr,menisküs~kist,1
Hoffa,bg,мастн~възглавниц,0
Hoffa,bg,хофа,1
Hoffa,bs,hoffin,1
Hoffa,bs,masn~tijel,0
Hoffa,de,hoffa,1
Hoffa,de,fettkörper,1
Hoffa,el,λιπώδ~σώμα,1
Hoffa,el,λιπώδ,1
Hoffa,en,hoffa,1
Hoffa,en,infrapatellar fat,1
Hoffa,en,fat pad,1
Hoffa,en,infrapatellar~fat,1
Hoffa,es,hoffa,1
Hoffa,es,grasa~hoffa,1
Hoffa,es,almohadilla~gras,1
Hoffa,es,gras~infrarrotulian,0
Hoffa,fr,hoffa,1
Hoffa,fr,graisse~hoffa,1
Hoffa,hr,hoffin,1
Hoffa,hr,masn~tijel,0
Hoffa,nl,vetlichaam,0
Hoffa,nl,hoffa,1
Hoffa,tr,yağ yastığ,1
Hoffa,tr,hoffa,1
Hoffa,tr,yağ~yastı,1
LCL,bg,външн~странич,0
LCL,bg,латерал~колатерал,1
LCL,bs,vanjsk~kolateral,1
LCL,bs,lateraln~kolateral,1
LCL,de,außenband,1
LCL,de,aussenband,0
LCL,de,lateral~kollateralband,1
LCL,de,fibular~kollateral,0
LCL,el,έξω~πλάγι,1
LCL,el,έξω~πλαγί,1
LCL,en,lateral collateral,1
LCL,en,fibular collateral,1
LCL,en,lcl,1
LCL,en,lateral~collateral,1
LCL,es,colateral~extern,1
LCL,es,colateral~lateral,1
LCL,es,lateral extern,0
LCL,es,lce,0
LCL,es,lle,0
LCL,fr,collatéral~latéral,1
LCL,fr,collateral~lateral,0
LCL,hr,vanjsk~kolateral,0
LCL,hr,lateraln~kolateral,1
LCL,nl,lateral~collateral,1
LCL,nl,buitenband,0
LCL,tr,dış yan bağ,1
LCL,tr,lateral kollateral,1
LCL,tr,dış~kollateral,0
MuscleEdema,bg,мускулн~оток,0
MuscleEdema,bg,мускулн~разкъс,0
MuscleEdema,bs,mišićn~ruptur,1
MuscleEdema,bs,edem~mišić,1
MuscleEdema,de,muskelfaserriss,0
MuscleEdema,de,muskelzerrung,0
MuscleEdema,de,muskelödem,1
MuscleEdema,de,muskel~ödem,0
MuscleEdema,de,muskel~riss,0
MuscleEdema,el,μυϊκ~θλάσ,0
MuscleEdema,el,μυϊκ~οίδημα,0
MuscleEdema,el,μυ~οίδημα,1
MuscleEdema,en,muscle strain,1
MuscleEdema,en,myotendinous,1
MuscleEdema,en,muscle~tear,1
MuscleEdema,en,muscle~edema,1
MuscleEdema,en,muscle~oedema,1
MuscleEdema,en,muscul~tear,1
MuscleEdema,es,desgarro~muscular,0
MuscleEdema,es,edema~muscular,1
MuscleEdema,es,miotendinos,0
MuscleEdema,fr,lésion~musculaire,0
MuscleEdema,fr,œdème~musculaire,1
MuscleEdema,hr,mišićn~ruptur,1
MuscleEdema,hr,edem~mišić,0
MuscleEdema,nl,spierscheur,0
MuscleEdema,nl,spieroedeem,0
MuscleEdema,nl,spier~oedeem,1
MuscleEdema,tr,kas~yırtı,1
MuscleEdema,tr,kas~ödem,1
PCL,bg,задн~кръстн,1
PCL,bs,zadnj~ukršten,0
PCL,bs,zadnj~ukrižen,0
PCL,bs,stražnj~ukrižen,1
PCL,bs,stražnj~ukršten,0
PCL,de,hinter~kreuzband,1
PCL,de,hkb,1
PCL,el,οπίσθι~χιαστ,1
PCL,el,οπισθί~χιαστ,1
PCL,en,posterior cruciate,1
PCL,en,pcl,1
PCL,en,posterior~cruciate,1
PCL,es,cruzado posterior,1
PCL,es,lcp,1
PCL,es,cruzad~posterior,1
PCL,fr,crois~postérieur,1
PCL,fr,crois~posterieur,0
PCL,hr,zadnj~ukrižen,0
PCL,hr,stražnj~ukrižen,1
PCL,hr,zadnj~križn,0
PCL,nl,achterst~kruisband,1
PCL,tr,arka çapraz,1
PCL,tr,acb,0
PCL,tr,arka~çapraz,1
PatellarTendon,bg,пателарн~сухожили,1
PatellarTendon,bg,тендинопат,1
PatellarTendon,bg,сухожили~квадрицепс,1
PatellarTendon,bs,patelarn~tetiv,1
PatellarTendon,bs,tetiv~kvadriceps,1
PatellarTendon,bs,tendinopat,1
PatellarTendon,de,patellarsehne,1
PatellarTendon,de,quadrizepssehne,1
PatellarTendon,de,tendinopathie,1
PatellarTendon,de,tendinose,0
PatellarTendon,de,patellar~sehne,0
PatellarTendon,el,επιγονατιδικ~τένοντ,1
PatellarTendon,el,τενοντοπάθ,1
PatellarTendon,el,τετρακέφαλ~τένοντ,1
PatellarTendon,en,patellar tendon,1
PatellarTendon,en,patellar tendin,1
PatellarTendon,en,quadriceps tendon,1
PatellarTendon,en,tendinopathy,1
PatellarTendon,en,tendinosis,1
PatellarTendon,en,tendinitis,1
PatellarTendon,en,patell~tendon,1
PatellarTendon,en,quadriceps~tendon,1
PatellarTendon,es,tendón~rotulian,1
PatellarTendon,es,tendon~rotulian,1
PatellarTendon,es,tendinopat,1
PatellarTendon,es,tendinosis,1
PatellarTendon,es,tendón~cuadricipital,1
PatellarTendon,fr,tendon~rotulien,1
PatellarTendon,fr,tendon~quadricipital,0
PatellarTendon,fr,tendinopathie,1
PatellarTendon,hr,patelarn~tetiv,1
PatellarTendon,hr,tetiv~kvadriceps,1
PatellarTendon,hr,tendinopat,1
PatellarTendon,nl,patellapees,1
PatellarTendon,nl,quadricepspees,1
PatellarTendon,nl,tendinopathie,0
PatellarTendon,nl,patella~pees,1
PatellarTendon,tr,patellar~tendon,1
PatellarTendon,tr,kuadriseps~tendon,1
PatellarTendon,tr,tendinopat,0
PatellarTendon,tr,tendinit,0
PatellarTracking,bg,латерализаци~пател,0
PatellarTracking,bg,сублуксаци~пател,1
PatellarTracking,bs,lateralizacij~patel,0
PatellarTracking,bs,subluksacij~patel,1
PatellarTracking,de,patella~lateralisation,1
PatellarTracking,de,patella~tilt,1
PatellarTracking,de,trochlea~dysplas,1
PatellarTracking,el,επιγονατίδ~ολίσθησ,0
PatellarTracking,el,δυσπλασ~τροχιλ,0
PatellarTracking,en,maltracking,1
PatellarTracking,en,patellar tilt,1
PatellarTracking,en,patell~tilt,1
PatellarTracking,en,patell~subluxation,1
PatellarTracking,en,trochlear dysplasia,1
PatellarTracking,en,trochlear~dysplas,1
PatellarTracking,es,lateraliza~rotulian,0
PatellarTracking,es,subluxa~rotulian,0
PatellarTracking,es,displasia~troclear,1
PatellarTracking,fr,subluxation~rotulienne,0
PatellarTracking,fr,dysplasie~trochl,1
PatellarTracking,hr,lateralizacij~patel,0
PatellarTracking,hr,subluksacij~patel,1
PatellarTracking,nl,patella~subluxatie,1
PatellarTracking,nl,trochlea~dysplas,1
PatellarTracking,tr,patell~tilt,0
PatellarTracking,tr,patell~subluksasyon,0
PatellarTracking,tr,troklear~displaz,1
Plica,bg,синовиалн~гънк,0
Plica,bg,гънк,0
Plica,bs,plika,1
Plica,bs,sinovijaln~plik,0
Plica,de,plica,1
Plica,de,plika,0
Plica,el,υμενώδ~πτυχ,0
Plica,el,αρθρικ~πτυχ,1
Plica,el,πλίκα,0
Plica,en,plica,1
Plica,en,plicae,1
Plica,es,plica,1
Plica,fr,plica,0
Plica,hr,plika,1
Plica,hr,sinovijaln~plik,0
Plica,nl,plica,1
Plica,tr,plika,1
