# Finding vocabulary, one term per row. Case-folded substring match on word
# boundaries. corpus=1 means the term was seen in the actual training reports.
#
# Review guide: a term here should name the STRUCTURE or the ABNORMALITY, not
# the severity. Severity and negation live in cues.csv. Terms that would match a
# healthy mention ("meniscus") are fine — the cue engine decides polarity.
finding,language,term,corpus
PF OA,es,rotuliana,1
PF OA,es,condropatía rotuliana,0
PF OA,tr,patellofemoral,1
PF OA,tr,kondromalazi,0
PF OA,de,retropatellar,1
PF OA,de,femoropatellar,1
PF OA,de,patellofemoral,0
PF OA,nl,patellofemoraal,0
PF OA,nl,retropatellair,0
PF OA,fr,fémoro-patellaire,0
PF OA,hr,patelofemoralni,0
PF OA,hr,hondromalacija patele,1
PF OA,el,επιγονατιδομηριαί,0
PF OA,bg,пателофеморал,0
Effusion,en,effusion,1
Effusion,en,joint fluid,0
Effusion,en,suprapatellar fluid,0
Effusion,es,derrame,1
Effusion,es,líquido articular,0
Effusion,tr,eklem sıvısı,1
Effusion,tr,efüzyon,0
Effusion,tr,sıvı artışı,0
Effusion,de,gelenkerguss,1
Effusion,de,erguss,1
Effusion,nl,hydrops,1
Effusion,nl,gewrichtsvocht,0
Effusion,fr,épanchement,0
Effusion,hr,izljev,0
Effusion,hr,izljeva,0
Effusion,el,συλλογή υγρού,1
Effusion,el,αρθρικού υγρού,1
Effusion,bg,ставен излив,1
Effusion,bg,излив,1
Synovitis,en,synovitis,1
Synovitis,en,synovial thickening,0
Synovitis,es,sinovitis,0
Synovitis,tr,sinovit,0
Synovitis,de,synovialitis,0
Synovitis,de,synovitis,0
Synovitis,nl,synovitis,0
Synovitis,fr,synovite,0
Synovitis,hr,sinovitis,0
Synovitis,el,υμενίτιδα,0
Synovitis,bg,синовит,0
Baker's,en,baker,1
Baker's,en,popliteal cyst,0
Baker's,es,quiste de baker,0
Baker's,es,quiste poplíteo,0
Baker's,tr,baker,0
Baker's,tr,popliteal kist,0
Baker's,de,bakerzyste,0
Baker's,de,baker-zyste,0
Baker's,de,poplitealzyste,0
Baker's,nl,bakercyste,0
Baker's,fr,kyste poplité,0
Baker's,hr,bakerova cista,0
Baker's,hr,poplitealna cista,0
Baker's,el,κύστη baker,0
Baker's,bg,киста на бейкър,0
Baker's,bg,бейкърова киста,0
Contusion,en,bone marrow edema,1
Contusion,en,bone marrow oedema,0
Contusion,en,bone bruise,0
Contusion,en,contusion,1
Contusion,es,edema óseo,1
Contusion,es,edema de médula ósea,0
Contusion,es,contusión,0
Contusion,tr,kemik iliği ödem,1
Contusion,tr,kontüzyon,0
Contusion,de,knochenmarködem,1
Contusion,de,knochenmarksödem,0
Contusion,de,bone bruise,0
Contusion,nl,botoedeem,1
Contusion,nl,beenmergoedeem,0
Contusion,fr,œdème osseux,0
Contusion,hr,edem koštane srži,0
Contusion,el,οίδημα μυελού,0
Contusion,el,οίδηµα,1
Contusion,bg,костен едем,0
Contusion,bg,едем,1
Fracture,en,fracture,1
Fracture,en,avulsion,0
Fracture,es,fractura,0
Fracture,es,avulsión,0
Fracture,tr,kırık,0
Fracture,tr,fraktür,0
Fracture,de,fraktur,0
Fracture,de,knochenbruch,0
Fracture,nl,fractuur,0
Fracture,fr,fracture,0
Fracture,hr,prijelom,0
Fracture,hr,fraktura,0
Fracture,el,κάταγμα,0
Fracture,bg,фрактура,0
Fracture,bg,счупване,0
